run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,sdk_version,notes
2025-11-08,rigetti,Ankaa-3,10,1,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a6d7a154-89ae-457e-9508-e28078c3ea79,2025-11-08T00:55:55.766Z,2025-11-08T00:55:56.370Z,,
2025-11-08,rigetti,Ankaa-3,01,2,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a9360056-05c3-4d15-a7a3-eae1da59fc22,2025-11-08T00:55:55.125Z,2025-11-08T00:55:55.717Z,,
2025-11-08,rigetti,Ankaa-3,00,3,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a9645e75-264d-4fea-bbf9-b2da4d97f578,2025-11-08T00:55:45.074Z,2025-11-08T00:55:45.805Z,,
2025-11-08,rigetti,Ankaa-3,11,2,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/b1331fa8-3ee6-4a7c-a034-1bccfb27d687,2025-11-08T01:03:27.936Z,2025-11-08T01:03:28.535Z,,
2025-11-08,rigetti,Ankaa-3,00,4,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/b5346190-c485-437b-a893-b891afbc038b,2025-11-08T01:03:22.039Z,2025-11-08T01:03:22.977Z,,
2025-11-08,rigetti,Ankaa-3,10,2,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/b65f247e-f8e2-436a-8a2c-88c6b4bd3f40,2025-11-08T00:55:53.450Z,2025-11-08T00:55:54.825Z,,
2025-11-08,rigetti,Ankaa-3,11,2,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/b683585f-e44f-4f5b-8827-b131c369352e,2025-11-08T01:03:45.466Z,2025-11-08T01:03:46.075Z,,
2025-11-08,rigetti,Ankaa-3,00,6,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/b74d852b-95f6-4384-8c7b-2abebcda3452,2025-11-08T00:55:51.382Z,2025-11-08T00:55:52.014Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/bc963736-15c0-4c3d-8680-d8436ddd9e86,2025-11-08T00:56:05.284Z,2025-11-08T00:56:05.844Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/bd64f720-847b-41f1-a65b-4229d991112d,2025-11-08T01:03:40.945Z,2025-11-08T01:03:41.567Z,,
2025-11-08,rigetti,Ankaa-3,01,2,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/bf5bcf85-4f39-4925-8e1a-c01b997b1d90,2025-11-08T00:55:56.193Z,2025-11-08T00:55:56.744Z,,
2025-11-08,rigetti,Ankaa-3,11,4,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c02e4cfd-a2c8-44ca-a264-dfc09d12d276,2025-11-08T00:56:02.780Z,2025-11-08T00:56:03.398Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c09e5acc-28a3-493e-87f7-4e93f7485aec,2025-11-08T00:55:55.984Z,2025-11-08T00:55:56.626Z,,
2025-11-08,rigetti,Ankaa-3,01,2,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c13cdec8-689e-446f-a7ed-4a335a719ad0,2025-11-08T00:55:40.752Z,2025-11-08T00:55:43.003Z,,
2025-11-08,rigetti,Ankaa-3,01,3,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c33776f5-cb31-4ebf-9953-9b12ef2eb1ce,2025-11-08T00:55:56.403Z,2025-11-08T00:55:57.276Z,,
2025-11-08,rigetti,Ankaa-3,10,2,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c44e2581-6210-4dfd-9a9e-5fa2b7f8c0d3,2025-11-08T01:03:28.138Z,2025-11-08T01:03:28.792Z,,
2025-11-08,rigetti,Ankaa-3,01,4,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c6b76ad0-2fbc-4313-b9e1-598af0d28c7c,2025-11-08T01:03:28.862Z,2025-11-08T01:03:29.966Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c8b36978-954d-473a-b0d2-6dcb4cae5c1e,2025-11-08T00:56:00.595Z,2025-11-08T00:56:01.245Z,,
2025-11-08,rigetti,Ankaa-3,10,3,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c9532ec8-0cb6-42d2-9390-f135c5bddb70,2025-11-08T01:03:25.872Z,2025-11-08T01:03:26.461Z,,
2025-11-08,rigetti,Ankaa-3,11,4,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c9b3596f-84a6-4655-bb7d-8936bf9e7e08,2025-11-08T01:03:24.913Z,2025-11-08T01:03:25.559Z,,
2025-11-08,rigetti,Ankaa-3,01,4,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/c9c07455-c4e8-45c5-840f-1969c84c52a1,2025-11-08T00:55:55.569Z,2025-11-08T00:55:56.211Z,,
2025-11-08,rigetti,Ankaa-3,00,3,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/cf3cc356-0cc3-48bc-a232-d63f19b4177f,2025-11-08T01:03:43.521Z,2025-11-08T01:03:44.736Z,,
2025-11-08,rigetti,Ankaa-3,10,3,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/cf40d500-ffaf-43ab-84ea-5a570ec3cbc2,2025-11-08T01:03:33.091Z,2025-11-08T01:03:33.638Z,,
2025-11-08,rigetti,Ankaa-3,10,6,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/cfdbcbfe-70e1-4fac-97fc-2ecf48cb599a,2025-11-08T01:03:31.380Z,2025-11-08T01:03:31.929Z,,
2025-11-08,rigetti,Ankaa-3,01,6,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d0081d97-2296-4457-9f42-84ac5b815f2b,2025-11-08T00:55:50.754Z,2025-11-08T00:55:51.391Z,,
2025-11-08,rigetti,Ankaa-3,11,2,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d042ab68-e526-44d7-aa7e-45fc1a75ae23,2025-11-08T00:55:46.012Z,2025-11-08T00:55:46.625Z,,
2025-11-08,rigetti,Ankaa-3,10,1,1,"{""10"": 1}",0.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d06804c7-487c-4247-a461-41897b53ccdc,2025-11-08T00:55:54.064Z,2025-11-08T00:55:54.973Z,,
2025-11-08,rigetti,Ankaa-3,01,1,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d3f55cd9-a088-48b9-8655-030184128c90,2025-11-08T01:03:39.036Z,2025-11-08T01:03:39.871Z,,
2025-11-08,rigetti,Ankaa-3,00,3,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d5c44350-d661-4ac5-8f5b-05502b1cfba6,2025-11-08T00:55:59.978Z,2025-11-08T00:56:00.725Z,,
2025-11-08,rigetti,Ankaa-3,01,4,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d5fecf3c-e0ee-4ab9-9c0e-87691d29d682,2025-11-08T00:55:56.619Z,2025-11-08T00:55:57.400Z,,
2025-11-08,rigetti,Ankaa-3,11,6,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d656e629-f01f-431e-a01f-95bb965a738d,2025-11-08T00:55:40.548Z,2025-11-08T00:55:42.878Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d6d0785b-c6f5-4f72-b863-aad1ad3aea4d,2025-11-08T01:03:36.721Z,2025-11-08T01:03:37.318Z,,
2025-11-08,rigetti,Ankaa-3,00,4,1,"{""01"": 1}",0.0,arn:aws:braket:us-west-1:835581428919:quantum-task/d9f36538-3c99-4151-8949-cb4342717a4e,2025-11-08T00:55:53.651Z,2025-11-08T00:55:54.984Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/da1e4e2e-fd58-47ca-8010-8bdc67e91d84,2025-11-08T01:03:36.286Z,2025-11-08T01:03:36.843Z,,
2025-11-08,rigetti,Ankaa-3,10,4,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/da9f18e6-0873-4476-b704-b516f9476856,2025-11-08T00:55:41.522Z,2025-11-08T00:55:42.715Z,,
2025-11-08,rigetti,Ankaa-3,10,4,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/daff0e48-7aa5-4122-8190-480aef26a68e,2025-11-08T00:55:41.758Z,2025-11-08T00:55:42.733Z,,
2025-11-08,rigetti,Ankaa-3,00,3,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/dc91d35c-fd8b-4d37-9d06-8bcc06047aa6,2025-11-08T01:03:27.517Z,2025-11-08T01:03:28.070Z,,
2025-11-08,rigetti,Ankaa-3,11,1,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/dd2f89db-09c4-4622-82cf-d76523f283d2,2025-11-08T01:03:41.369Z,2025-11-08T01:03:42.026Z,,
2025-11-08,rigetti,Ankaa-3,01,1,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/dd447947-77a8-4c5c-9d7e-765e0a05d796,2025-11-08T00:55:48.511Z,2025-11-08T00:55:49.961Z,,
2025-11-08,rigetti,Ankaa-3,10,5,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/ddac107d-5b05-4642-9235-2847fee2822f,2025-11-08T01:03:26.514Z,2025-11-08T01:03:27.095Z,,
2025-11-08,rigetti,Ankaa-3,01,4,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/de2df502-d84f-4b5e-81c2-5d8a069acd97,2025-11-08T01:03:35.867Z,2025-11-08T01:03:36.462Z,,
2025-11-08,rigetti,Ankaa-3,10,6,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/deed49fc-1eb9-4136-972d-f8bbd467b847,2025-11-08T00:55:48.081Z,2025-11-08T00:55:49.982Z,,
2025-11-08,rigetti,Ankaa-3,10,3,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/dfcd182a-c3ac-42bc-8f26-8749e59d0502,2025-11-08T01:03:34.773Z,2025-11-08T01:03:35.418Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/e31e9e06-19e0-42ad-8a1b-aef0c026d10a,2025-11-08T01:03:24.502Z,2025-11-08T01:03:25.116Z,,
