run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,qpu_execution_sec,sdk_version,notes
2024-02-16,ionq,Harmony,10,3,1000,"{""00"": 12, ""10"": 14, ""01"": 963, ""11"": 11}",0.963,arn:aws:braket:us-east-1:835581428919:quantum-task/b663d8e4-d9f7-498f-af34-d8c380d8e3e1,2024-02-16T18:57:04.070Z,2024-04-04T19:18:02.405Z,,,
2024-02-16,ionq,Harmony,10,6,1000,"{""00"": 27, ""10"": 908, ""01"": 37, ""11"": 28}",0.908,arn:aws:braket:us-east-1:835581428919:quantum-task/b67d20b1-3444-4034-9eaf-68c6a0a6cedd,2024-02-16T18:57:30.819Z,2024-04-05T06:57:39.125Z,,,
2024-02-16,ionq,Harmony,11,4,1000,"{""00"": 23, ""10"": 15, ""01"": 912, ""11"": 50}",0.912,arn:aws:braket:us-east-1:835581428919:quantum-task/b697283e-63f5-4d2b-be59-df77f7e4f100,2024-02-16T19:34:17.708Z,2024-04-05T23:59:01.735Z,,,
2024-02-16,ionq,Harmony,01,1,1000,"{""00"": 17, ""10"": 1, ""01"": 979, ""11"": 3}",0.979,arn:aws:braket:us-east-1:835581428919:quantum-task/b6973a20-e270-46c8-99a1-d300791a4f0b,2024-02-16T19:58:16.426Z,2024-04-11T15:34:04.054Z,,,
2024-02-16,ionq,Harmony,11,1,1000,"{""00"": 10, ""10"": 981, ""01"": 3, ""11"": 6}",0.981,arn:aws:braket:us-east-1:835581428919:quantum-task/b6a39c5d-9406-44d1-857d-d9ae53d95ff4,2024-02-16T19:56:54.330Z,2024-04-11T00:34:36.161Z,,,
2024-02-16,ionq,Harmony,00,2,1000,"{""00"": 973, ""10"": 17, ""01"": 3, ""11"": 7}",0.973,arn:aws:braket:us-east-1:835581428919:quantum-task/b6a59ae4-e0ff-4f4f-b810-20425f8c9eb0,2024-02-16T18:57:00.178Z,2024-04-04T19:14:27.555Z,,,
2024-02-16,ionq,Harmony,01,4,1000,"{""00"": 36, ""10"": 932, ""01"": 8, ""11"": 24}",0.932,arn:aws:braket:us-east-1:835581428919:quantum-task/b6afba21-74f8-4b24-9dc4-6eae4d967b00,2024-02-16T19:59:32.614Z,2024-04-11T23:38:39.293Z,,,
2024-02-16,ionq,Harmony,10,2,1000,"{""00"": 4, ""10"": 15, ""01"": 972, ""11"": 9}",0.972,arn:aws:braket:us-east-1:835581428919:quantum-task/b6c3fa22-6393-46c7-a6f9-329b1d28ef23,2024-02-16T19:56:27.823Z,2024-04-08T07:34:26.201Z,,,
2024-02-16,ionq,Harmony,11,3,1000,"{""00"": 12, ""10"": 11, ""01"": 11, ""11"": 966}",0.966,arn:aws:braket:us-east-1:835581428919:quantum-task/b6d671ec-fc01-4749-a17e-47cb64549242,2024-02-16T18:54:52.414Z,2024-04-04T05:12:19.155Z,,,
2024-02-16,ionq,Harmony,11,4,1000,"{""00"": 11, ""10"": 9, ""01"": 964, ""11"": 16}",0.964,arn:aws:braket:us-east-1:835581428919:quantum-task/b6e7aa6e-6d77-480d-890d-ef04e52ebea1,2024-02-16T18:54:47.181Z,2024-04-03T23:57:20.679Z,,,
